sa	re	lowered_re	ga	lowered_ga	ma	raised_ma	pa	da	lowered_da	ni	lowered_ni
Abhogi_D1T1	252	229	0	0	183	137	0	0	195	0	0	0
Ahir_bhairav_D1T3	070	0	091	119	0	183	0	190	190	007	0	147
Alhaiya_bilaval_D1T4	160	200	0	320	0	040	0	120	120	0	040	0
Asavari_D1T5	172	0	126	0	080	091	0	126	0	218	0	183
Bageshri_D1T6	169	103	0	0	178	150	0	046	183	0	0	169
Bahar_D1T7	175	072	0	0	185	185	0	134	061	0	051	134
Basant_D1T8	216	0	146	160	0	013	160	062	0	118	118	0
Bhairav_D1T9	212	0	136	159	0	181	0	121	0	136	053	0
Bhairavi_D1T10	219	034	089	0	184	082	0	171	0	102	013	102
Bhatiyar_D1T11	130	0	057	115	0	188	0	173	217	0	115	0
Bhimpalasi_D1T12	166	071	0	0	214	261	0	190	023	0	0	071
Bhupal_todi_D1T13	280	0	235	0	191	011	0	123	0	157	0	0
Bhupali_D1T14	235	200	0	211	0	0	0	188	164	0	0	0
Bibhas_D1T15	220	0	152	271	0	0	0	169	0	186	0	0
Bihag_D1T16	156	056	0	200	0	168	0	231	018	0	168	0
Bilaskhani_todi_D1T17	203	0	203	0	194	048	0	077	0	155	0	116
Brindabani_sarang_D1T18	169	223	0	007	0	161	0	192	0	0	246	0
Chandrakauns_D2T1	197	010	0	0	166	208	0	0	0	197	218	0
Chayanat_D2T2	166	176	0	215	0	137	009	147	068	0	049	029
Desh_D2T4	182	131	0	087	0	116	0	138	124	0	138	080
Deshi_D2T5	230	173	0	0	134	115	0	134	076	0	0	134
Dhani_D2T6	169	015	0	0	261	169	0	215	0	0	0	169
Durga_D2T7	200	233	0	033	0	200	0	133	200	0	0	0
Gaud_malhar_D2T8	129	151	0	129	0	183	0	135	118	0	129	021
Gaud_sarang_D2T9	136	136	0	318	0	181	068	159	0	0	0	0
Gorakh_kalyan_D2T10	201	174	0	009	0	174	0	055	275	0	0	110
Gujari_todi_D2T11	214	0	214	0	142	0	142	0	0	285	0	0
Gunakri_D2T12	155	0	181	012	0	220	0	259	0	168	0	0
Hamir_D2T13	082	074	0	164	0	082	059	201	164	0	171	0
Hansadhvani_D2T14	142	154	0	250	0	023	0	261	0	0	166	0
Hindol_D2T15	300	008	0	227	0	0	211	0	235	0	016	0
Jaijaivanti_D2T16	109	218	0	142	005	120	0	136	114	0	049	103
Jhinjhoti_D2T18	141	136	0	117	0	108	0	146	212	0	0	136
Jog_D3T1	215	004	0	178	053	157	0	190	0	0	0	199
Jogiya_D3T2	197	0	111	123	0	172	0	172	0	148	061	012
Kafi_D3T3	137	166	0	0	088	156	0	147	176	0	0	127
Kamod_D3T4	121	149	0	130	0	130	009	280	112	0	037	028
Kedar_D3T5	193	075	0	053	0	107	064	247	172	0	086	0
Khamaj_D3T6	127	030	0	210	0	120	0	150	195	0	090	075
Kirvani_D3T7	217	195	0	0	163	065	0	119	0	141	086	010
Lalit_D3T8	159	0	117	170	0	202	159	0	0	117	074	0
Madhuvanti_D3T9	200	142	0	0	171	0	285	085	0	0	114	0
Manj_khamaj_D3T11	140	114	0	140	0	087	0	175	210	0	070	061
Maru_bihag_D3T12	239	152	0	217	0	043	130	108	0	0	108	0
Marva_D3T13	071	0	200	157	0	0	214	0	171	0	185	0
Megh_D3T14	205	264	0	014	0	102	0	264	0	0	0	147
Miyan_ki_malhar_D3T15	170	147	0	0	102	215	0	079	068	0	068	147
Miyan_ki_todi_D3T16	157	0	250	0	197	0	131	039	0	131	092	0
Multani_D3T17	258	0	096	0	225	0	225	096	0	064	032	0
Nayaki_kanada_D3T18	309	309	0	0	142	095	0	023	0	0	0	119
Patdip_D3T19	138	027	0	0	194	277	0	194	055	0	111	0
Pilu_D3T20	167	142	0	014	137	128	0	142	098	0	103	064
file6degdegree	295	011	0	0	170	102	0	0	0	159	0	261
file7degdegree	206	118	0	0	031	131	0	168	0	112	0	231
puriya	120	0	106	173	0	0	186	013	173	0	226	0
puriya_dhanashri	145	0	138	175	0	0	167	109	0	138	124	0
puriya_kalyan	132	0	168	216	0	0	132	036	096	0	216	0
purvi	057	0	202	260	0	188	0	086	0	057	144	0
rageshri	164	067	0	193	0	188	0	0	178	0	0	207
ramkali	085	0	148	212	0	234	021	170	0	106	021	0
shahana	161	070	0	0	111	151	0	151	151	0	0	202
shankara	140	131	0	254	0	0	0	175	078	0	219	0
shri	106	0	280	106	0	0	173	133	0	120	080	0
shuddh_kalyan	220	229	0	270	0	004	018	117	121	0	018	0
shuddh_sarang	195	195	0	021	0	282	0	108	043	0	152	0
shyam_kalyan	126	139	0	151	0	202	0	189	088	0	101	0
sindhura	155	165	0	0	135	097	0	145	194	0	0	106
sohini	191	0	089	168	0	0	224	0	179	0	146	0
sur_malhar	129	170	0	005	0	227	0	212	088	0	165	0
tilak_kamod	279	162	0	186	0	116	0	139	023	0	093	0
tilang	137	034	0	275	0	172	0	206	0	0	172	0
yaman	083	166	0	194	0	0	194	027	166	0	166	0
