FILENAME	t1_1	t1_2	t1_3	t1_4	t1_5	t1_6	t1_7	t1_h4	t1_h7	t1_2	t1_3	t1_	t2_1	t2_2	t2_3	t2_4	t2_5	t2_6	t2_7	t2_h7	t2_3	t3_1	t3_2	t3_3	t3_4	t3_5	t3_6	t3_7	t3_h4	t3_1	t3_2	t3_3	t3_	t4_1	t4_2	t4_3	t4_4	t4_5	t4_6	t4_7	t4_6	t4_	t5_1	t5_2	t5_3	t5_4	t5_5	t5_6	t5_7	t5_F4	t5_h4	t5_h7	t5_4	t5_6	t5_	t6_1	t6_2	t6_3	t6_4	t6_5	t6_6	t6_7	t6_F4	t6_b	t6_6	t6_	t7_1	t7_2	t7_3	t7_4	t7_5	t7_6	t7_7	t7_h4	t7_7	tF4_1	tF4_6	tb_4	th4_3	th4_5	th4_6	th4_h4	th7_1	th7_5	th7_7	th7_h7	t1_1	t4_4	t7_5	t2_2	t2_4	t2_2	t2_1	t3_2	t3_4	t3_5	t3_3	t6_1	t6_6	t6_6	t6_1	t1_1	t1_3	t_3	t_4	t_5	t_6	t_7
Abhogi_D1T1txtdeg	6024	6024	0	0	0	12048	0	0	0	0	0	0	6024	9639	241	241	0	241	0	0	0	0	4819	8434	4819	0	0	0	0	0	0	0	0	1205	0	7229	3614	0	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10843	241	0	3614	0	3614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ahir_bhairav_D1T3txtdeg	0	146	0	073	0	073	292	0	0	0	0	0	365	219	146	0	0	0	146	0	0	0	292	073	5839	219	0	0	0	0	0	0	0	0	0	8029	292	6569	073	073	0	0	0	0	146	5839	438	7299	073	0	0	0	0	0	0	073	0	0	219	5839	365	7299	0	0	0	0	219	219	0	073	073	7299	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alhaiya_bilaval_D1T4txtdeg	0	4762	0	0	0	4762	0	0	0	0	0	0	4762	0	14286	0	0	0	0	0	0	0	14286	9524	0	9524	0	0	0	0	0	0	0	0	0	4762	0	0	0	0	0	0	0	0	4762	4762	0	4762	0	0	0	0	0	0	0	0	0	0	0	4762	4762	4762	0	0	0	0	4762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asavari_D1T5txtdeg	241	3614	0	1205	0	0	7229	0	0	1205	0	0	6024	241	0	1205	0	0	0	0	0	0	241	4819	0	0	0	0	0	0	0	0	0	0	0	241	0	7229	0	0	0	0	0	1205	0	1205	3614	1205	6024	0	0	0	0	0	0	241	0	0	4819	241	7229	241	0	0	1205	0	4819	0	0	0	0	10843	3614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1205	1205	0	0	0	0	0	0	1205	1205	0	0	0	0	0	0	0	0
Bageshri_D1T6txtdeg	2871	2392	1914	2392	0	1435	5263	0	0	0	0	0	4785	2871	1435	0	0	0478	0478	0	0	2392	4306	7177	3349	0	0478	0	0	0	0	0	0	0	0	5263	3349	1435	2871	1914	0	0	0	0	0	2392	0957	0957	0478	0	0	0	0	0	0	0957	0	1914	2871	1435	5742	5263	0478	0	0	0	4785	0478	0	0478	0957	6699	3828	0	0	0478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bahar_D1T7txtdeg	1075	2151	2151	2151	0	0	8602	0	0	0	0	0	4301	1075	1075	0	0	0	0	0	0	2151	2151	2151	10753	0	0	1075	0	0	0	0	0	0	1075	11828	1075	1075	0	4301	0	0	0	0	0	4301	7527	0	0	0	0	0	1075	0	0	1075	0	0	0	0	1075	4301	0	0	0	0	7527	0	1075	0	4301	5376	1075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Basant_D1T8txtdeg	11594	2899	1449	0725	0	2174	2174	0	0	0	0	0	3623	2899	2899	2174	0	0	2899	0	0	0	6522	3623	5072	0	0	0725	0	0	0	0	0	0	0	7971	3623	1449	5072	0	0	0	0	0	0	4348	2174	0	0	0	0	0	0	0	0	2899	0	0	2174	2899	0725	2899	0	0	0	0	2899	2174	0	0	0	3623	3623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bhairav_D1T9txtdeg	8661	315	1575	1575	0	1575	3937	0	0	0	0	0	5512	3937	3937	0	0	0	0	0	0	2362	3937	1575	6299	0	0	0	0	0	0	0787	0	0	0787	6299	315	7874	0	0	0787	0	0	0	1575	5512	0787	3937	0	0	0	0	0	0787	0	2362	0	0	2362	315	315	0787	0	0	0	0	1575	1575	0	0	0	1575	0787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0787	0	0	1575	0	0	0	0	0	0	0	0	0
Bhairavi_D1T10txtdeg	5674	4255	6383	0	0709	0	4255	0	0	0	0	0	6383	0709	2837	0	0	0	2128	0	0	2837	5674	3546	3546	2128	0	0709	0	0	0	0	0	0	0709	2128	0709	4255	0	0709	0	0	0	0	2128	3546	3546	6383	2128	0	0	0	0	0	0	2837	0	0	0709	5674	0	0709	0	0	0	0	3546	0709	1418	0	1418	3546	1418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bhatiyar_D1T11txtdeg	4688	1563	0	3125	0	0	1563	0	0	0	0	0	1563	1563	0	0	0	0	1563	0	0	1563	1563	1563	0	4688	0	0	1563	0	0	0	0	0	0	3125	625	0	3125	1563	0	0	0	0	4688	4688	1563	4688	0	0	3125	0	0	0	0	1563	0	0	0	10938	625	3125	0	0	0	0	1563	0	0	0	0	625	4688	0	0	0	0	0	1563	1563	1563	1563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bhimpalasi_D1T12txtdeg	0	0	2632	2632	0	0	7895	0	0	0	0	0	2632	2632	0	0	0	0	0	0	0	0	2632	2632	13158	2632	0	0	0	0	0	0	0	2632	0	13158	0	13158	0	0	0	0	5263	0	2632	13158	0	0	0	0	0	0	0	0	0	0	0	0	0	2632	0	0	0	0	0	0	2632	0	0	0	2632	2632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bhupal_todi_D1T13txtdeg	7143	5952	4762	0	119	4762	0	0	0	119	0	0	9524	7143	5952	0	0	0	0	0	0	2381	9524	119	0	5952	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	5952	119	0	3571	0	0	0	0	0	2381	0	4762	0	0	0	4762	3571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	119	0	119	119	119	0	0	0	0	0
Bhupali_D1T14txtdeg	2469	4938	1235	0	2469	11111	0	0	0	0	0	0	6173	4938	7407	0	0	1235	0	0	0	1235	7407	4938	0	7407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3704	1235	7407	0	3704	3704	0	0	0	0	0	0	0	8642	1235	0	0	6173	1235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bibhas_D1T15txtdeg	3704	7407	1852	0	0	7407	0	0	0	0	0	0	5556	0	9259	0	0	0	0	0	0	1852	7407	5556	0	11111	1852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9259	0	3704	5556	0	0	0	0	0	0	0	9259	0	1852	0	3704	3704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bihag_D1T16txtdeg	1282	0	3205	0	1923	0	7692	0641	0	0	0	0	5128	0	0	0	0	0	0	0	0	1282	4487	2564	3205	4487	0	0	3846	0	0	0	0	0	0	4487	1923	1923	0641	0	0	0	1282	0	1923	3846	7692	0	7051	0	1923	0	0	0	0	0	0	0	0	1923	0	0	0	0	0	0	641	0641	1282	0	4487	1282	1923	1282	0	0	0	0	641	1282	0	0641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bilaskhani_todi_D1T17txtdeg	6061	404	101	0	0	101	6061	0	0	0	0	0	303	6061	8081	101	0	0	101	0	0	0	8081	202	0	7071	0	0	0	101	101	0	0	0	0	5051	0	0	0	0	0	0	0	0	202	101	0	101	404	0	0	0	0	0	0	5051	0	0	303	101	404	101	0	0	101	0	202	0	101	0	0	9091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	101	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0
Brindabani_sarang_D1T18txtdeg	3968	4762	0	1587	1587	0	3175	0	0794	0	0	0	3968	5556	0	873	0794	0	0794	2381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11111	0	0	5556	0	0	0	0	0794	0	0	6349	2381	0	7143	0	0	3175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2381	0794	0	0	873	0	3968	0	0	0	0	0	0	0	0	0	4762	0794	0794	3175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chandrakauns_D2T1txtdeg	3261	0	3261	4348	0	0	7609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5435	0	0	1087	0	0	0	0	0	0	0	0	0	0	11957	3261	0	4348	2174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3261	0	1087	3261	0	5435	7609	0	0	0	0	6522	0	0	0	0	1087	5435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chayanat_D2T2txtdeg	6122	102	3061	0	0	102	4082	0	0	0	0	0	5102	3061	6122	2041	0	0	102	0	0	0	8163	2041	10204	102	0	0	0	0	0	0	0	0	3061	7143	102	2041	102	102	0	0	2041	0	3061	2041	8163	0	0	0	0	0	0	0	0	0	0	0	0	102	4082	2041	0	0	0	0	3061	2041	0	0	2041	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
