sa	re	lowered_re	ga	lowered_ga	ma	raised_ma	pa	da	lowered_da	ni	lowered_ni
252	229	0	0	183	137	0	0	195	0	0	0
070	0	091	119	0	183	0	190	190	007	0	147
160	200	0	320	0	040	0	120	120	0	040	0
172	0	126	0	080	091	0	126	0	218	0	183
169	103	0	0	178	150	0	046	183	0	0	169
175	072	0	0	185	185	0	134	061	0	051	134
216	0	146	160	0	013	160	062	0	118	118	0
212	0	136	159	0	181	0	121	0	136	053	0
219	034	089	0	184	082	0	171	0	102	013	102
130	0	057	115	0	188	0	173	217	0	115	0
166	071	0	0	214	261	0	190	023	0	0	071
280	0	235	0	191	011	0	123	0	157	0	0
235	200	0	211	0	0	0	188	164	0	0	0
220	0	152	271	0	0	0	169	0	186	0	0
156	056	0	200	0	168	0	231	018	0	168	0
203	0	203	0	194	048	0	077	0	155	0	116
169	223	0	007	0	161	0	192	0	0	246	0
197	010	0	0	166	208	0	0	0	197	218	0
166	176	0	215	0	137	009	147	068	0	049	029
182	131	0	087	0	116	0	138	124	0	138	080
230	173	0	0	134	115	0	134	076	0	0	134
169	015	0	0	261	169	0	215	0	0	0	169
200	233	0	033	0	200	0	133	200	0	0	0
129	151	0	129	0	183	0	135	118	0	129	021
136	136	0	318	0	181	068	159	0	0	0	0
201	174	0	009	0	174	0	055	275	0	0	110
214	0	214	0	142	0	142	0	0	285	0	0
155	0	181	012	0	220	0	259	0	168	0	0
082	074	0	164	0	082	059	201	164	0	171	0
142	154	0	250	0	023	0	261	0	0	166	0
300	008	0	227	0	0	211	0	235	0	016	0
109	218	0	142	005	120	0	136	114	0	049	103
141	136	0	117	0	108	0	146	212	0	0	136
215	004	0	178	053	157	0	190	0	0	0	199
197	0	111	123	0	172	0	172	0	148	061	012
137	166	0	0	088	156	0	147	176	0	0	127
121	149	0	130	0	130	009	280	112	0	037	028
193	075	0	053	0	107	064	247	172	0	086	0
127	030	0	210	0	120	0	150	195	0	090	075
217	195	0	0	163	065	0	119	0	141	086	010
159	0	117	170	0	202	159	0	0	117	074	0
200	142	0	0	171	0	285	085	0	0	114	0
140	114	0	140	0	087	0	175	210	0	070	061
239	152	0	217	0	043	130	108	0	0	108	0
071	0	200	157	0	0	214	0	171	0	185	0
205	264	0	014	0	102	0	264	0	0	0	147
170	147	0	0	102	215	0	079	068	0	068	147
157	0	250	0	197	0	131	039	0	131	092	0
258	0	096	0	225	0	225	096	0	064	032	0
309	309	0	0	142	095	0	023	0	0	0	119
138	027	0	0	194	277	0	194	055	0	111	0
167	142	0	014	137	128	0	142	098	0	103	064
295	011	0	0	170	102	0	0	0	159	0	261
206	118	0	0	031	131	0	168	0	112	0	231
120	0	106	173	0	0	186	013	173	0	226	0
145	0	138	175	0	0	167	109	0	138	124	0
132	0	168	216	0	0	132	036	096	0	216	0
057	0	202	260	0	188	0	086	0	057	144	0
164	067	0	193	0	188	0	0	178	0	0	207
085	0	148	212	0	234	021	170	0	106	021	0
161	070	0	0	111	151	0	151	151	0	0	202
140	131	0	254	0	0	0	175	078	0	219	0
106	0	280	106	0	0	173	133	0	120	080	0
220	229	0	270	0	004	018	117	121	0	018	0
195	195	0	021	0	282	0	108	043	0	152	0
126	139	0	151	0	202	0	189	088	0	101	0
155	165	0	0	135	097	0	145	194	0	0	106
191	0	089	168	0	0	224	0	179	0	146	0
129	170	0	005	0	227	0	212	088	0	165	0
279	162	0	186	0	116	0	139	023	0	093	0
137	034	0	275	0	172	0	206	0	0	172	0
083	166	0	194	0	0	194	027	166	0	166	0
