FILENAME	t1_1	t1_2	t1_3	t1_4	t1_5	t1_6	t1_7	t1_h4	t1_h7	t1_~2	t1_~3	t1_—	t2_1	t2_2	t2_3	t2_4	t2_5	t2_6	t2_7	t2_h7	t2_~3	t3_1	t3_2	t3_3	t3_4	t3_5	t3_6	t3_7	t3_h4	t3_q1	t3_~2	t3_~3	t3_—	t4_1	t4_2	t4_3	t4_4	t4_5	t4_6	t4_7	t4_~6	t4_—	t5_1	t5_2	t5_3	t5_4	t5_5	t5_6	t5_7	t5_F4	t5_h4	t5_h7	t5_q4	t5_~6	t5_—	t6_1	t6_2	t6_3	t6_4	t6_5	t6_6	t6_7	t6_F4	t6_b	t6_~6	t6_—	t7_1	t7_2	t7_3	t7_4	t7_5	t7_6	t7_7	t7_h4	t7_q7	tF4_1	tF4_6	tb_4	th4_3	th4_5	th4_6	th4_h4	th7_1	th7_5	th7_7	th7_h7	tq1_1	tq4_4	tq7_5	t~2_2	t~2_4	t~2_~2	t~2_~~1	t~3_2	t~3_4	t~3_5	t~3_~3	t~6_1	t~6_6	t~6_~6	t~6_~~1	t~~1_1	t~~1_3	t—_3	t—_4	t—_5	t—_6	t—_7
Abhogi_D1T1.txt.deg	6.024	6.024	0	0	0	12.048	0	0	0	0	0	0	6.024	9.639	2.41	2.41	0	2.41	0	0	0	0	4.819	8.434	4.819	0	0	0	0	0	0	0	0	1.205	0	7.229	3.614	0	2.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.843	2.41	0	3.614	0	3.614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ahir_bhairav_D1T3.txt.deg	0	1.46	0	0.73	0	0.73	2.92	0	0	0	0	0	3.65	2.19	1.46	0	0	0	1.46	0	0	0	2.92	0.73	5.839	2.19	0	0	0	0	0	0	0	0	0	8.029	2.92	6.569	0.73	0.73	0	0	0	0	1.46	5.839	4.38	7.299	0.73	0	0	0	0	0	0	0.73	0	0	2.19	5.839	3.65	7.299	0	0	0	0	2.19	2.19	0	0.73	0.73	7.299	2.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alhaiya_bilaval_D1T4.txt.deg	0	4.762	0	0	0	4.762	0	0	0	0	0	0	4.762	0	14.286	0	0	0	0	0	0	0	14.286	9.524	0	9.524	0	0	0	0	0	0	0	0	0	4.762	0	0	0	0	0	0	0	0	4.762	4.762	0	4.762	0	0	0	0	0	0	0	0	0	0	0	4.762	4.762	4.762	0	0	0	0	4.762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asavari_D1T5.txt.deg	2.41	3.614	0	1.205	0	0	7.229	0	0	1.205	0	0	6.024	2.41	0	1.205	0	0	0	0	0	0	2.41	4.819	0	0	0	0	0	0	0	0	0	0	0	2.41	0	7.229	0	0	0	0	0	1.205	0	1.205	3.614	1.205	6.024	0	0	0	0	0	0	2.41	0	0	4.819	2.41	7.229	2.41	0	0	1.205	0	4.819	0	0	0	0	10.843	3.614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.205	1.205	0	0	0	0	0	0	1.205	1.205	0	0	0	0	0	0	0	0
Bageshri_D1T6.txt.deg	2.871	2.392	1.914	2.392	0	1.435	5.263	0	0	0	0	0	4.785	2.871	1.435	0	0	0.478	0.478	0	0	2.392	4.306	7.177	3.349	0	0.478	0	0	0	0	0	0	0	0	5.263	3.349	1.435	2.871	1.914	0	0	0	0	0	2.392	0.957	0.957	0.478	0	0	0	0	0	0	0.957	0	1.914	2.871	1.435	5.742	5.263	0.478	0	0	0	4.785	0.478	0	0.478	0.957	6.699	3.828	0	0	0.478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bahar_D1T7.txt.deg	1.075	2.151	2.151	2.151	0	0	8.602	0	0	0	0	0	4.301	1.075	1.075	0	0	0	0	0	0	2.151	2.151	2.151	10.753	0	0	1.075	0	0	0	0	0	0	1.075	11.828	1.075	1.075	0	4.301	0	0	0	0	0	4.301	7.527	0	0	0	0	0	1.075	0	0	1.075	0	0	0	0	1.075	4.301	0	0	0	0	7.527	0	1.075	0	4.301	5.376	1.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Basant_D1T8.txt.deg	11.594	2.899	1.449	0.725	0	2.174	2.174	0	0	0	0	0	3.623	2.899	2.899	2.174	0	0	2.899	0	0	0	6.522	3.623	5.072	0	0	0.725	0	0	0	0	0	0	0	7.971	3.623	1.449	5.072	0	0	0	0	0	0	4.348	2.174	0	0	0	0	0	0	0	0	2.899	0	0	2.174	2.899	0.725	2.899	0	0	0	0	2.899	2.174	0	0	0	3.623	3.623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bhairav_D1T9.txt.deg	8.661	3.15	1.575	1.575	0	1.575	3.937	0	0	0	0	0	5.512	3.937	3.937	0	0	0	0	0	0	2.362	3.937	1.575	6.299	0	0	0	0	0	0	0.787	0	0	0.787	6.299	3.15	7.874	0	0	0.787	0	0	0	1.575	5.512	0.787	3.937	0	0	0	0	0	0.787	0	2.362	0	0	2.362	3.15	3.15	0.787	0	0	0	0	1.575	1.575	0	0	0	1.575	0.787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.787	0	0	1.575	0	0	0	0	0	0	0	0	0
Bhairavi_D1T10.txt.deg	5.674	4.255	6.383	0	0.709	0	4.255	0	0	0	0	0	6.383	0.709	2.837	0	0	0	2.128	0	0	2.837	5.674	3.546	3.546	2.128	0	0.709	0	0	0	0	0	0	0.709	2.128	0.709	4.255	0	0.709	0	0	0	0	2.128	3.546	3.546	6.383	2.128	0	0	0	0	0	0	2.837	0	0	0.709	5.674	0	0.709	0	0	0	0	3.546	0.709	1.418	0	1.418	3.546	1.418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bhatiyar_D1T11.txt.deg	4.688	1.563	0	3.125	0	0	1.563	0	0	0	0	0	1.563	1.563	0	0	0	0	1.563	0	0	1.563	1.563	1.563	0	4.688	0	0	1.563	0	0	0	0	0	0	3.125	6.25	0	3.125	1.563	0	0	0	0	4.688	4.688	1.563	4.688	0	0	3.125	0	0	0	0	1.563	0	0	0	10.938	6.25	3.125	0	0	0	0	1.563	0	0	0	0	6.25	4.688	0	0	0	0	0	1.563	1.563	1.563	1.563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bhimpalasi_D1T12.txt.deg	0	0	2.632	2.632	0	0	7.895	0	0	0	0	0	2.632	2.632	0	0	0	0	0	0	0	0	2.632	2.632	13.158	2.632	0	0	0	0	0	0	0	2.632	0	13.158	0	13.158	0	0	0	0	5.263	0	2.632	13.158	0	0	0	0	0	0	0	0	0	0	0	0	0	2.632	0	0	0	0	0	0	2.632	0	0	0	2.632	2.632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bhupal_todi_D1T13.txt.deg	7.143	5.952	4.762	0	1.19	4.762	0	0	0	1.19	0	0	9.524	7.143	5.952	0	0	0	0	0	0	2.381	9.524	1.19	0	5.952	0	0	0	0	0	0	0	0	0	0	0	1.19	0	0	0	0	0	0	5.952	1.19	0	3.571	0	0	0	0	0	2.381	0	4.762	0	0	0	4.762	3.571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19	0	0	0	0	0	1.19	0	1.19	1.19	1.19	0	0	0	0	0
Bhupali_D1T14.txt.deg	2.469	4.938	1.235	0	2.469	11.111	0	0	0	0	0	0	6.173	4.938	7.407	0	0	1.235	0	0	0	1.235	7.407	4.938	0	7.407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.704	1.235	7.407	0	3.704	3.704	0	0	0	0	0	0	0	8.642	1.235	0	0	6.173	1.235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bibhas_D1T15.txt.deg	3.704	7.407	1.852	0	0	7.407	0	0	0	0	0	0	5.556	0	9.259	0	0	0	0	0	0	1.852	7.407	5.556	0	11.111	1.852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.259	0	3.704	5.556	0	0	0	0	0	0	0	9.259	0	1.852	0	3.704	3.704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bihag_D1T16.txt.deg	1.282	0	3.205	0	1.923	0	7.692	0.641	0	0	0	0	5.128	0	0	0	0	0	0	0	0	1.282	4.487	2.564	3.205	4.487	0	0	3.846	0	0	0	0	0	0	4.487	1.923	1.923	0.641	0	0	0	1.282	0	1.923	3.846	7.692	0	7.051	0	1.923	0	0	0	0	0	0	0	0	1.923	0	0	0	0	0	0	6.41	0.641	1.282	0	4.487	1.282	1.923	1.282	0	0	0	0	6.41	1.282	0	0.641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bilaskhani_todi_D1T17.txt.deg	6.061	4.04	1.01	0	0	1.01	6.061	0	0	0	0	0	3.03	6.061	8.081	1.01	0	0	1.01	0	0	0	8.081	2.02	0	7.071	0	0	0	1.01	1.01	0	0	0	0	5.051	0	0	0	0	0	0	0	0	2.02	1.01	0	1.01	4.04	0	0	0	0	0	0	5.051	0	0	3.03	1.01	4.04	1.01	0	0	1.01	0	2.02	0	1.01	0	0	9.091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01	0	0	1.01	0	0	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0
